Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
22.21,4.68,-2.1,6.81,1.23,23.94,1091.5,1.67,1
15.61,4.13,-1.54,4.22,6.67,21.65,1537.31,1.74,1
10.11,3.78,-1.68,12.54,12.19,26.24,1569.5,1.7,1
44.68,13.39,-4.2,9.08,-1.26,7.0,108.64,2.33,1
0.05,0.38,-3.1,-1.98,-3.09,24.04,595.51,0.22,1
0.43,0.4,-2.01,9.56,4.73,23.08,547.68,0.72,1
26.56,11.7,-2.17,13.26,1.02,33.65,264.87,1.97,1
41.99,10.38,-3.21,15.17,5.03,15.67,130.74,2.36,1
36.61,12.35,-3.08,11.14,-0.29,34.97,197.17,2.37,1
62.41,18.18,-3.53,13.21,-2.17,19.92,109.64,2.46,1
43.56,12.17,-1.6,9.37,-0.43,2.59,119.5,2.38,1
50.26,18.18,-1.46,10.02,-2.43,12.99,148.9,2.34,1
36.64,16.44,-2.85,15.67,-0.05,26.05,173.14,2.37,1
35.98,16.64,-2.84,12.65,-1.14,35.05,242.79,2.37,1
51.01,16.64,-1.51,9.39,-1.95,22.9,138.36,2.32,1
42.89,14.38,-1.55,9.49,-0.39,2.59,175.65,2.38,1
79.89,0.29,2.4,5.68,6.64,32.23,166.19,2.78,1
46.76,18.18,-2.66,15.66,-1.7,27.53,178.53,2.4,1
50.48,17.81,-1.48,8.89,-2.97,10.78,133.46,2.31,1
60.72,18.18,-3.54,13.2,-2.19,29.87,110.05,2.43,1
51.31,18.37,-4.05,9.34,0.91,12.64,138.01,2.25,1
52.23,18.37,-4.05,11.48,3.29,18.78,133.6,2.19,1
52.23,18.37,-4.05,11.48,3.29,18.78,133.6,2.19,1
51.2,18.37,-1.4,9.34,0.91,9.66,132.49,2.28,1
50.26,18.18,-1.46,10.02,-2.43,12.99,148.9,2.34,1
51.09,18.18,-1.47,8.9,-2.97,10.78,133.46,2.3,1
51.09,18.18,-1.47,8.9,-2.97,10.78,133.46,2.3,1
52.35,18.37,-4.04,12.63,3.72,41.37,122.92,2.15,1
57.31,18.37,-2.79,13.1,4.06,32.55,127.87,2.38,1
55.85,18.37,-4.02,12.02,2.36,30.68,132.31,2.24,1
19.67,40.49,-1.85,1.73,-5.11,4.76,371.06,1.85,1
55.24,20.07,-4.03,12.89,3.14,15.21,134.23,2.14,1
53.31,18.75,-4.04,12.92,3.15,33.62,132.39,2.11,1
57.13,20.07,-2.77,13.06,3.39,33.22,126.8,2.38,1
1.27,1.39,-2.0,10.3,6.01,16.33,511.69,0.99,1
81.14,4.59,-5.63,14.4,-2.19,105.05,103.34,2.39,1
58.65,20.93,-2.15,12.06,6.01,21.29,126.27,2.41,1
90.08,13.38,-2.27,11.13,0.59,20.62,140.9,2.69,1
14.46,0.09,-2.6,-0.68,-4.35,40.45,803.39,1.56,1
8.32,2.04,-2.56,3.99,-1.09,32.68,692.79,1.43,1
14.55,0.09,-2.42,0.04,-4.49,41.04,857.56,1.56,1
8.61,2.77,-2.55,4.02,-1.09,32.68,692.79,1.44,1
73.95,28.31,-2.87,14.32,-0.49,34.67,117.73,2.51,1
11.08,3.42,-2.32,11.16,2.1,21.63,423.57,1.67,1
25.93,29.98,-2.38,10.54,1.36,11.03,277.62,1.93,1
25.93,29.98,-2.38,10.54,1.36,11.03,277.62,1.93,1
79.09,28.12,-2.81,14.12,-0.87,47.15,114.86,2.15,1
50.84,25.18,-1.87,8.79,0.75,1.26,165.14,2.51,1
35.35,8.28,0.71,4.96,6.87,2.68,191.37,2.39,1
43.73,24.15,-3.49,8.37,1.21,0.0,172.12,2.46,1
87.19,13.79,-3.21,10.83,-0.02,16.54,279.7,2.69,1
87.83,11.63,-2.88,11.84,-4.04,10.62,467.04,2.82,1
63.26,0.06,2.89,1.47,1.23,6.26,167.06,2.56,1
91.89,12.41,0.5,2.33,1.53,12.86,156.68,2.69,1
98.68,24.34,-2.5,7.14,-1.99,17.68,172.71,2.72,1
77.53,30.79,-3.57,9.56,-2.39,47.03,111.92,2.39,1
14.43,13.72,-2.07,5.72,-3.19,35.43,1175.02,1.67,1
43.73,0.28,-2.34,7.52,3.87,0.0,172.12,2.46,1
3.67,41.58,-3.93,11.76,1.86,-0.0,232.54,1.4,1
44.0,2.37,-2.48,7.47,3.87,0.0,172.77,2.46,1
9.29,12.59,-2.01,3.53,-2.63,36.2,1068.36,1.46,1
84.12,17.27,-1.83,2.69,0.06,12.86,156.68,2.67,1
101.27,28.36,-2.94,6.62,-3.62,10.7,172.71,2.73,1
9.46,41.58,-2.8,16.29,-9.11,29.38,1393.07,1.76,1
71.62,54.17,-2.41,13.71,0.38,37.21,931.37,2.57,1
79.25,4.07,1.1,1.71,0.43,7.5,169.33,2.65,1
70.27,42.16,-2.74,11.74,-0.33,19.16,1374.08,2.59,1
46.84,16.94,-9.12,5.77,6.55,1.57,162.52,2.48,1
88.85,46.25,-3.19,17.67,8.13,20.07,160.27,2.68,1
0.45,46.23,-2.27,14.07,-21.07,10.46,290.73,0.89,1
0.73,46.59,-2.26,7.1,-1.73,23.73,284.09,1.03,1
0.73,46.59,-2.26,7.1,-1.73,23.73,284.09,1.03,1
65.05,46.24,-2.93,12.14,-2.13,20.34,1394.37,2.53,1
46.75,6.73,-1.77,6.23,5.52,0.0,172.77,2.49,1
67.0,57.73,-3.38,13.05,-3.08,37.14,911.44,2.58,1
65.75,45.68,-2.93,12.15,-1.76,25.44,1085.55,2.57,1
66.85,45.68,-2.87,13.24,-1.56,33.44,996.51,2.57,1
62.6,2.98,-0.5,9.47,4.2,2.6,163.97,2.57,1
91.66,14.86,-9.1,6.59,5.74,1.46,214.82,1.98,1
35.69,8.33,0.1,5.51,1.96,0.0,165.32,2.51,1
45.38,7.73,-2.25,2.01,1.13,12.44,757.05,2.47,1
45.38,7.93,-2.26,1.98,1.13,12.44,757.05,2.47,1
32.89,8.33,-1.79,6.02,2.58,0.0,167.17,2.37,1
49.13,58.12,-3.06,11.28,-7.79,19.3,360.51,2.32,1
49.13,58.12,-3.06,11.28,-7.79,19.3,360.51,2.32,1
49.13,58.12,-3.06,11.28,-7.79,19.3,360.51,2.32,1
49.13,58.12,-3.06,11.28,-7.79,19.3,360.51,2.32,1
83.96,16.2,-0.91,10.01,1.33,4.28,6584.01,2.8,1
55.04,57.95,-3.75,14.39,0.86,31.65,144.69,2.1,1
51.08,58.12,-3.37,4.75,-6.14,35.41,668.87,2.47,1
47.47,0.89,-1.56,9.83,6.42,16.55,485.38,2.16,1
