Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
22.21,-2.1,-0.73,6.81,1.23,0.07,1091.5,1.67,1
15.61,-1.54,-1.91,4.22,6.67,0.03,1537.31,1.74,1
10.11,-1.68,-2.48,12.54,12.19,0.09,1569.5,1.7,1
44.68,-4.2,-0.24,9.08,-1.26,0.12,108.64,2.33,1
0.05,-3.1,0.5,-1.98,-3.09,-0.0,595.51,0.22,1
0.43,-2.01,-1.39,9.56,4.73,0.01,547.68,0.72,1
26.56,-2.17,-1.3,13.26,1.02,0.14,264.87,1.97,1
41.99,-3.21,0.45,15.17,5.03,0.2,130.74,2.36,1
36.61,-3.08,0.92,11.14,-0.29,0.14,197.17,2.37,1
62.41,-3.53,-1.24,13.21,-2.17,0.23,109.64,2.46,1
43.56,-1.6,-0.27,9.37,-0.43,0.13,119.5,2.38,1
50.26,-1.46,0.14,10.02,-2.43,0.15,148.9,2.34,1
36.64,-2.85,1.41,15.67,-0.05,0.22,173.14,2.37,1
35.98,-2.84,1.41,12.65,-1.14,0.17,242.79,2.37,1
51.01,-1.51,-0.01,9.39,-1.95,0.15,138.36,2.32,1
42.89,-1.55,-0.27,9.49,-0.39,0.14,175.65,2.38,1
79.89,2.4,-6.33,5.68,6.64,0.11,166.19,2.78,1
46.76,-2.66,1.69,15.66,-1.7,0.23,178.53,2.4,1
50.48,-1.48,0.15,8.89,-2.97,0.14,133.46,2.31,1
60.72,-3.54,-1.22,13.2,-2.19,0.22,110.05,2.43,1
51.31,-4.05,-1.2,9.34,0.91,0.15,138.01,2.25,1
52.23,-4.05,-1.21,11.48,3.29,0.18,133.6,2.19,1
52.23,-4.05,-1.21,11.48,3.29,0.18,133.6,2.19,1
51.2,-1.4,-0.46,9.34,0.91,0.15,132.49,2.28,1
50.26,-1.46,0.14,10.02,-2.43,0.15,148.9,2.34,1
51.09,-1.47,0.15,8.9,-2.97,0.14,133.46,2.3,1
51.09,-1.47,0.15,8.9,-2.97,0.14,133.46,2.3,1
52.35,-4.04,-1.22,12.63,3.72,0.2,122.92,2.15,1
57.31,-2.79,-2.49,13.1,4.06,0.22,127.87,2.38,1
55.85,-4.02,-1.27,12.02,2.36,0.19,132.31,2.24,1
19.67,-1.85,0.16,1.73,-5.11,0.02,371.06,1.85,1
55.24,-4.03,-1.25,12.89,3.14,0.21,134.23,2.14,1
53.31,-4.04,-1.24,12.92,3.15,0.2,132.39,2.11,1
57.13,-2.77,-2.51,13.06,3.39,0.21,126.8,2.38,1
1.27,-2.0,-1.4,10.3,6.01,0.03,511.69,0.99,1
81.14,-5.63,-2.79,14.4,-2.19,0.29,103.34,2.39,1
58.65,-2.15,-3.06,12.06,6.01,0.18,126.27,2.41,1
90.08,-2.27,-2.02,11.13,0.59,0.22,140.9,2.69,1
14.46,-2.6,-0.09,-0.68,-4.35,0.0,803.39,1.56,1
8.32,-2.56,0.39,3.99,-1.09,0.02,692.79,1.43,1
14.55,-2.42,0.15,0.04,-4.49,0.0,857.56,1.56,1
8.61,-2.55,0.39,4.02,-1.09,0.02,692.79,1.44,1
73.95,-2.87,-4.08,14.32,-0.49,0.26,117.73,2.51,1
11.08,-2.32,-0.43,11.16,2.1,0.08,423.57,1.67,1
25.93,-2.38,-1.4,10.54,1.36,0.12,277.62,1.93,1
25.93,-2.38,-1.4,10.54,1.36,0.12,277.62,1.93,1
79.09,-2.81,-4.13,14.12,-0.87,0.27,114.86,2.15,1
50.84,-1.87,-6.62,8.79,0.75,0.14,165.14,2.51,1
35.35,0.71,-4.1,4.96,6.87,0.07,191.37,2.39,1
43.73,-3.49,-3.03,8.37,1.21,0.13,172.12,2.46,1
87.19,-3.21,-0.63,10.83,-0.02,0.21,279.7,2.69,1
87.83,-2.88,3.84,11.84,-4.04,0.23,467.04,2.82,1
63.26,2.89,-3.43,1.47,1.23,0.02,167.06,2.56,1
91.89,0.5,-4.19,2.33,1.53,0.05,156.68,2.69,1
98.68,-2.5,-1.41,7.14,-1.99,0.14,172.71,2.72,1
