Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
80.26,-1.65,-1.0,8.69,-3.32,0.06,150.2,2.79,0
2.11,-2.05,0.78,4.31,0.76,0.01,4724.53,0.7,0
1.89,-2.05,0.78,4.32,0.74,0.01,5273.38,0.72,0
1.64,-2.06,0.78,4.34,0.73,0.01,5156.74,0.72,0
1.36,-2.06,0.77,4.35,0.72,0.01,5014.21,0.73,0
3.1,-2.07,0.77,4.36,0.7,0.02,1280.09,0.96,0
2.95,-2.07,0.76,4.37,0.69,0.02,583.4,0.97,0
2.58,-2.08,0.76,1.21,-4.02,0.0,1476.4,0.96,0
2.24,-2.08,0.76,1.22,-3.98,0.0,1468.88,0.95,0
1.87,-2.09,0.75,1.23,-3.95,0.0,946.56,0.92,0
1.54,-2.1,0.75,1.23,-3.91,0.0,1746.06,0.9,0
2.36,-2.09,0.62,4.43,0.49,0.01,1050.74,1.03,0
4.77,-2.28,0.42,4.39,-0.74,0.02,955.86,1.25,0
4.34,-2.28,0.42,4.39,-0.75,0.02,1042.36,1.23,0
3.89,-2.29,0.41,4.4,-0.76,0.02,985.76,1.21,0
3.44,-2.3,0.41,4.4,-0.78,0.02,975.77,1.2,0
3.01,-2.3,0.41,4.41,-0.79,0.02,960.73,1.16,0
5.59,-2.31,0.4,4.42,-0.8,0.02,942.67,1.32,0
5.16,-2.31,0.4,0.08,-3.57,0.0,1096.44,1.33,0
5.78,-2.32,0.39,0.08,-3.54,0.0,1068.36,1.34,0
11.44,-2.02,1.31,3.68,-2.5,0.02,1050.19,1.53,0
13.39,-2.03,0.59,5.2,-3.02,0.04,1193.55,1.63,0
13.31,-2.04,0.5,5.27,-3.07,0.04,1175.02,1.65,0
14.06,-2.04,0.5,5.17,-3.07,0.04,1159.05,1.7,0
13.95,-2.05,0.5,5.08,-3.06,0.04,1095.43,1.71,0
15.64,-2.05,0.49,4.98,-3.05,0.04,1045.06,1.78,0
15.74,-2.07,0.49,5.74,-2.71,0.04,964.95,1.8,0
18.65,-2.07,0.49,6.83,-2.32,0.06,924.2,1.9,0
20.37,-2.1,0.38,8.85,-2.42,0.08,814.73,1.97,0
17.75,-1.78,-1.07,7.78,3.8,0.07,578.34,1.92,0
17.75,-1.78,-1.08,7.77,3.7,0.07,549.88,1.93,0
17.44,-1.6,-1.6,6.24,1.28,0.06,525.3,1.92,0
16.74,-1.58,-1.67,6.03,0.96,0.05,505.38,1.91,0
16.96,-1.59,-1.67,5.98,0.91,0.05,485.94,1.91,0
16.12,-1.59,-1.68,5.92,0.85,0.05,458.13,1.89,0
15.24,-1.59,-1.69,5.87,0.79,0.05,444.58,1.88,0
15.29,-1.6,-1.69,5.82,0.74,0.05,427.9,1.87,0
14.33,-1.6,-1.7,5.77,0.68,0.05,389.96,1.85,0
13.9,-0.98,-1.4,4.45,-1.24,0.04,376.46,1.83,0
12.29,-1.03,-1.35,4.2,-1.54,0.03,438.16,1.8,0
10.52,-1.03,-1.35,4.13,-1.57,0.03,419.59,1.77,0
9.97,-1.04,-1.36,4.13,-1.64,0.03,408.69,1.75,0
8.36,-1.04,-1.36,4.33,-1.82,0.03,393.55,1.71,0
6.71,-1.04,-1.36,4.26,-1.86,0.02,384.55,1.65,0
5.06,-1.05,-1.37,4.19,-1.9,0.02,371.06,1.57,0
4.59,-1.27,-1.17,4.5,-1.65,0.02,313.67,1.34,0
3.16,-3.22,0.6,7.91,0.92,0.03,304.97,1.44,0
2.6,-3.22,0.6,7.81,0.76,0.03,328.22,1.38,0
0.66,-2.6,0.54,7.59,0.59,0.01,317.95,1.0,0
0.02,-2.61,0.53,7.59,0.51,0.01,310.67,0.14,0
0.24,-2.61,0.53,20.38,-15.73,0.02,300.96,0.59,0
0.39,-2.62,0.53,21.55,-15.06,0.03,113.7,0.84,0
0.81,-2.62,0.52,22.06,-14.94,0.04,102.79,1.03,0
4.27,-2.44,0.44,20.88,-13.64,0.09,275.27,1.46,0
7.68,-0.71,-0.24,9.26,-2.94,0.06,268.39,1.61,0
7.78,-0.71,-0.24,9.09,-3.53,0.06,260.95,1.6,0
8.07,-0.72,-0.24,9.07,-3.51,0.06,252.13,1.6,0
6.85,-0.72,-0.24,9.05,-3.49,0.05,246.2,1.56,0
7.02,-3.67,-1.29,9.02,-3.47,0.05,239.25,1.56,0
7.42,-3.67,-1.31,11.44,-2.03,0.07,489.97,1.57,0
6.06,-3.67,-1.32,12.44,-1.43,0.07,368.77,1.52,0
7.71,-3.67,-1.34,12.43,-1.39,0.08,343.85,1.6,0
13.33,-3.67,-1.35,12.42,-1.36,0.1,487.73,1.85,0
16.61,-3.67,-1.36,11.92,-1.96,0.11,494.48,1.98,0
15.58,-3.67,-1.38,11.9,-1.94,0.1,473.01,1.96,0
54.18,-3.15,-2.16,13.58,-3.28,0.22,347.08,2.2,0
53.18,-1.96,-3.97,17.41,-6.18,0.28,1345.89,2.2,0
52.0,-1.95,-3.99,17.42,-6.15,0.27,1357.39,2.18,0
55.33,-2.32,-2.5,17.42,-6.13,0.28,1393.07,2.35,0
64.1,-2.31,-2.52,17.64,-6.67,0.3,1402.47,2.45,0
65.9,-2.3,-2.54,17.65,-6.73,0.31,1393.02,2.48,0
67.8,-2.3,-2.55,15.05,-3.16,0.27,1307.62,2.52,0
67.3,-2.29,-2.57,11.17,2.33,0.2,1311.23,2.52,0
67.46,-2.28,-2.59,11.16,2.45,0.2,1317.31,2.54,0
66.88,-2.28,-2.6,11.76,1.79,0.21,1328.9,2.54,0
67.07,-2.27,-2.62,12.0,1.56,0.21,1367.3,2.55,0
67.35,-2.26,-2.64,11.98,1.64,0.21,1394.37,2.56,0
66.79,-2.25,-2.66,12.02,1.77,0.21,1374.08,2.56,0
67.15,-2.24,-2.67,12.01,1.85,0.21,1286.43,2.57,0
66.61,-2.23,-2.69,11.98,1.94,0.21,1177.9,2.57,0
66.89,-2.22,-2.71,11.96,2.02,0.21,1085.55,2.58,0
67.15,-1.61,-4.53,5.05,3.96,0.09,996.86,2.58,0
67.0,-1.59,-4.54,13.18,2.89,0.23,911.44,2.58,0
67.78,-1.57,-4.56,13.17,2.76,0.23,931.37,2.58,0
68.07,-1.55,-4.57,13.16,2.64,0.23,996.51,2.57,0
68.75,-1.53,-4.58,13.15,2.51,0.23,880.09,2.57,0
69.48,-1.51,-4.6,13.14,2.39,0.24,991.31,2.55,0
69.08,-1.49,-4.61,13.12,2.26,0.23,980.15,2.54,0
62.28,-1.47,-4.62,11.35,3.79,0.19,1065.28,2.55,0
63.27,-1.45,-4.64,11.39,3.73,0.2,1120.94,2.55,0
64.19,-1.43,-4.65,11.43,3.66,0.2,999.5,2.54,0
