index,lon,lat,age,plate_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,-92.33,15.32,6,224,-92.16,16.09,0.03,427.0,-92.88,14.79,6.92,10.26,2.22,-160.77,0.2,30.93,909.0,2000.0,2.71,4.68,6.81,1.23,-2.1,-0.73,-4.73,6.93,4.69,0.57,22.21,0.07,23.94,1091.5,1.67
1,-98.75,20.25,21,101,-94.53,23.13,0.07,413.0,-96.42,19.46,7.9,57.67,2.45,-128.99,0.16,23.43,902.0,101.0,4.13,4.13,4.22,6.67,-1.54,-1.91,-5.47,60.75,2.67,4.77,15.61,0.03,21.65,1537.31,1.74
2,-101.98,18.94,33,101,-95.09,22.6,0.03,496.0,-96.23,20.97,17.49,44.19,3.0,-124.23,0.19,31.19,902.0,101.0,3.78,3.78,12.54,12.19,-1.68,-2.48,-14.57,41.78,10.86,9.7,10.11,0.09,26.24,1569.5,1.7
3,-104.4,29.81,60,101,-89.89,35.67,0.13,433.0,-98.05,32.4,9.17,-7.92,4.2,-176.78,0.17,61.9,902.0,101.0,13.39,13.39,9.08,-1.26,-4.2,-0.24,-5.11,-17.14,4.88,-1.51,44.68,0.12,7.0,108.64,2.33
4,-106.59,37.43,23,101,-101.28,40.7,0.17,355.0,-108.18,32.83,-3.66,-122.63,3.14,170.92,0.0,75.18,901.0,105.0,0.38,0.38,-1.98,-3.09,-3.1,0.5,5.71,-152.83,-5.08,-2.61,0.05,-0.0,24.04,595.51,0.22
5,-106.93,37.85,26,101,-100.8,41.33,0.17,331.0,-107.36,32.94,10.67,26.33,2.45,-145.23,0.16,35.37,902.0,101.0,0.4,0.4,9.56,4.73,-2.01,-1.39,-8.26,23.9,7.55,3.35,0.43,0.01,23.08,547.68,0.72
6,-107.33,26.25,46,101,-96.42,30.3,0.06,400.0,-99.76,28.5,13.3,4.4,2.53,-149.1,0.18,57.52,902.0,101.0,11.7,11.7,13.26,1.02,-2.17,-1.3,-11.1,-1.51,11.09,-0.29,26.56,0.14,33.65,264.87,1.97
7,-107.35,25.67,54,101,-94.53,31.12,0.05,404.0,-97.27,29.21,15.98,18.33,3.24,171.98,0.18,49.8,902.0,101.0,10.38,10.38,15.17,5.03,-3.21,0.45,-13.16,24.53,11.97,5.46,41.99,0.2,15.67,130.74,2.36
8,-107.7,27.03,51,101,-95.46,31.86,0.06,395.0,-99.19,30.18,11.15,-1.51,3.22,163.3,0.18,57.51,903.0,101.0,12.35,12.35,11.14,-0.29,-3.08,0.92,-8.09,4.51,8.07,0.64,36.61,0.14,34.97,197.17,2.37
9,-108.12,32.81,75,101,-86.51,39.43,0.1,373.0,-93.72,37.6,13.38,-9.35,3.74,-160.71,0.19,75.14,902.0,101.0,18.18,18.18,13.21,-2.17,-3.53,-1.24,-10.26,-19.45,9.67,-3.42,62.41,0.23,19.92,109.64,2.46
