subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
10.26,-160.77,6.93,6.92,2.22,-4.73,22.21,1091.5,1
57.67,-128.99,60.75,7.9,2.45,-5.47,15.61,1537.31,1
44.19,-124.23,41.78,17.49,3.0,-14.57,10.11,1569.5,1
-7.92,-176.78,-17.14,9.17,4.2,-5.11,44.68,108.64,1
-122.63,170.92,-152.83,-3.66,3.14,5.71,0.05,595.51,1
26.33,-145.23,23.9,10.67,2.45,-8.26,0.43,547.68,1
4.4,-149.1,-1.51,13.3,2.53,-11.1,26.56,264.87,1
18.33,171.98,24.53,15.98,3.24,-13.16,41.99,130.74,1
-1.51,163.3,4.51,11.15,3.22,-8.09,36.61,197.17,1
-9.35,-160.71,-19.45,13.38,3.74,-10.26,62.41,109.64,1
-2.62,-170.58,-5.2,9.38,1.62,-7.8,43.56,119.5,1
-13.63,174.36,-15.04,10.31,1.47,-8.85,50.26,148.9,1
-0.18,153.74,5.96,15.67,3.18,-12.89,36.64,173.14,1
-5.15,153.68,1.5,12.71,3.17,-9.81,35.98,242.79,1
-11.73,-179.6,-14.07,9.59,1.51,-8.12,51.01,138.36,1
-2.36,-170.13,-4.85,9.49,1.57,-7.97,42.89,175.65,1
49.43,-69.26,2.13,8.73,-6.77,-8.1,79.89,166.19,1
-6.18,147.51,-0.07,15.75,3.15,-13.0,46.76,178.53,1
-18.47,174.31,-20.95,9.37,1.49,-7.93,50.48,133.46,1
-9.41,-161.01,-19.44,13.38,3.74,-10.25,60.72,110.05,1
5.58,-163.53,-3.14,9.38,4.22,-5.3,51.31,138.01,1
15.99,-163.35,15.59,11.94,4.22,-7.72,52.23,133.6,1
15.99,-163.35,15.59,11.94,4.22,-7.72,52.23,133.6,1
5.57,-161.76,3.14,9.39,1.48,-7.95,51.2,132.49,1
-13.63,174.36,-15.04,10.31,1.47,-8.85,50.26,148.9,1
-18.44,174.27,-20.89,9.38,1.48,-7.95,51.09,133.46,1
-18.44,174.27,-20.89,9.38,1.48,-7.95,51.09,133.46,1
16.42,-163.17,16.22,13.17,4.22,-8.95,52.35,122.92,1
17.22,-138.23,8.63,13.71,3.74,-10.43,57.31,127.87,1
11.12,-162.43,7.76,12.25,4.22,-8.07,55.85,132.31,1
-71.33,175.19,-91.47,5.39,1.85,4.94,19.67,371.06,1
13.7,-162.8,12.09,13.26,4.22,-9.05,55.24,134.23,1
13.71,-162.99,12.19,13.29,4.22,-9.08,53.31,132.39,1
14.56,-137.88,4.9,13.49,3.74,-10.33,57.13,126.8,1
30.28,-144.98,29.12,11.92,2.44,-9.49,1.27,511.69,1
-8.65,-153.64,-29.62,14.57,6.29,-10.08,81.14,103.34,1
26.51,-125.12,16.59,13.47,3.74,-10.34,58.65,126.27,1
3.04,-138.29,-9.28,11.14,3.04,-8.98,90.08,140.9,1
-98.93,-177.92,-126.47,-4.4,2.61,5.53,14.46,803.39,1
-15.25,171.26,-26.15,4.14,2.59,-1.59,8.32,692.79,1
-89.47,176.44,-118.67,4.49,2.42,4.96,14.55,857.56,1
-15.15,171.23,-25.57,4.16,2.58,-1.62,8.61,692.79,1
-1.95,-125.14,-21.77,14.33,4.99,-12.32,73.95,117.73,1
10.65,-169.39,10.82,11.36,2.36,-9.0,11.08,423.57,1
7.33,-149.65,-0.11,10.62,2.76,-8.14,25.93,277.62,1
7.33,-149.65,-0.11,10.62,2.76,-8.14,25.93,277.62,1
-3.53,-124.25,-23.86,14.14,5.0,-12.36,79.09,114.86,1
4.85,-105.8,-40.41,8.82,6.88,-9.08,50.84,165.14,1
54.15,-80.13,26.23,8.47,-4.16,-6.3,35.35,191.37,1
8.21,-139.04,-20.18,8.46,4.62,-5.2,43.73,172.12,1
-0.11,-168.93,-5.18,10.83,3.27,-7.64,87.19,279.7,1
-18.85,126.86,-1.48,12.51,4.8,-8.96,87.83,467.04,1
39.74,-49.87,-26.89,1.92,-4.49,-4.89,63.26,167.06,1
33.26,-83.24,-43.3,2.79,-4.22,-3.88,91.89,156.68,1
-15.61,-150.49,-36.17,7.41,2.87,-5.76,98.68,172.71,1
-14.04,-135.52,-44.51,9.85,5.0,-8.38,77.53,111.92,1
-29.12,165.25,-35.64,6.55,2.14,-4.5,14.43,1175.02,1
27.25,-120.3,-1.19,8.45,4.64,-5.16,43.73,172.12,1
9.01,-170.81,8.87,11.91,3.98,-7.93,3.67,232.54,1
27.38,-121.78,-1.27,8.42,4.71,-4.97,44.0,172.77,1
-36.72,145.21,-39.34,4.4,2.45,-1.96,9.29,1068.36,1
