subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
-20.94,-148.85,-31.58,9.3,1.93,-8.26,80.26,150.2,0
9.94,159.08,34.12,4.37,2.19,-2.73,2.11,4724.53,0
9.75,159.22,33.74,4.39,2.19,-2.73,1.89,5273.38,0
9.56,159.36,33.37,4.4,2.2,-2.73,1.64,5156.74,0
9.36,159.49,32.99,4.41,2.2,-2.73,1.36,5014.21,0
9.17,159.63,32.62,4.42,2.21,-2.72,3.1,1280.09,0
8.97,159.77,32.24,4.43,2.21,-2.72,2.95,583.4,0
-73.25,159.9,-105.04,4.2,2.21,3.38,2.58,1476.4,0
-73.03,160.04,-105.15,4.16,2.22,3.35,2.24,1468.88,0
-72.76,160.17,-105.21,4.13,2.22,3.32,1.87,946.56,0
-72.53,160.31,-105.33,4.1,2.23,3.29,1.54,1746.06,0
6.27,163.43,25.32,4.45,2.18,-2.58,2.36,1050.74,0
-9.6,169.51,-8.83,4.45,2.32,-2.13,4.77,955.86,0
-9.73,169.63,-9.23,4.46,2.32,-2.13,4.34,1042.36,0
-9.86,169.75,-9.63,4.46,2.33,-2.14,3.89,985.76,0
-9.99,169.88,-10.04,4.47,2.33,-2.14,3.44,975.77,0
-10.12,170.0,-10.44,4.48,2.34,-2.14,3.01,960.73,0
-10.25,170.13,-10.85,4.49,2.34,-2.15,5.59,942.67,0
-88.71,170.25,-125.08,3.57,2.34,3.89,5.16,1096.44,0
-88.68,170.38,-125.33,3.55,2.35,3.88,5.78,1068.36,0
-34.24,147.02,-35.92,4.45,2.41,-2.04,11.44,1050.19,0
-30.11,163.67,-37.13,6.01,2.12,-3.98,13.39,1193.55,0
-30.23,166.17,-38.22,6.1,2.1,-4.12,13.31,1175.02,0
-30.65,166.27,-39.08,6.01,2.1,-4.04,14.06,1159.05,0
-31.07,166.37,-39.98,5.93,2.11,-3.95,13.95,1095.43,0
-31.5,166.47,-40.89,5.84,2.11,-3.87,15.64,1045.06,0
-25.22,166.66,-30.78,6.35,2.12,-4.28,15.74,964.95,0
-18.78,166.76,-20.81,7.21,2.13,-5.09,18.65,924.2,0
-15.26,169.82,-16.61,9.18,2.13,-7.05,20.37,814.73,0
26.01,-148.89,24.6,8.65,2.08,-6.58,17.75,578.34,0
25.49,-148.8,23.88,8.61,2.08,-6.53,17.75,549.88,0
11.58,-135.01,-3.79,6.37,2.26,-4.63,17.44,525.3,0
9.05,-133.58,-8.86,6.1,2.3,-4.47,16.74,505.38,0
8.61,-133.53,-9.76,6.04,2.31,-4.43,16.96,485.94,0
8.16,-133.48,-10.68,5.98,2.31,-4.38,16.12,458.13,0
7.7,-133.43,-11.62,5.93,2.32,-4.34,15.24,444.58,0
7.22,-133.37,-12.58,5.87,2.33,-4.3,15.29,427.9,0
6.73,-133.31,-13.56,5.81,2.33,-4.26,14.33,389.96,0
-15.54,-125.17,-37.35,4.62,1.71,-4.34,13.9,376.46,0
-20.12,-127.31,-42.47,4.47,1.7,-4.27,12.29,438.16,0
-20.82,-127.35,-43.49,4.42,1.7,-4.24,10.52,419.59,0
-21.65,-127.39,-44.22,4.44,1.71,-4.29,9.97,408.69,0
-22.8,-127.43,-44.12,4.7,1.71,-4.56,8.36,393.55,0
-23.6,-127.47,-45.19,4.65,1.72,-4.54,6.71,384.55,0
-24.42,-127.51,-46.27,4.6,1.72,-4.51,5.06,371.06,0
-20.15,-137.27,-41.19,4.79,1.73,-4.27,4.59,313.67,0
6.6,169.42,18.14,7.96,3.27,-4.94,3.16,304.97,0
5.53,169.53,16.62,7.85,3.28,-4.8,2.6,328.22,0
4.44,168.38,12.78,7.61,2.66,-5.12,0.66,317.95,0
3.88,168.47,11.95,7.6,2.66,-5.09,0.02,310.67,0
-37.66,168.55,-40.54,25.75,2.67,-23.36,0.24,300.96,0
-34.94,168.64,-37.5,26.29,2.67,-23.85,0.39,113.7,0
-34.1,168.73,-36.55,26.65,2.68,-24.18,0.81,102.79,0
-33.16,169.67,-35.59,24.94,2.48,-22.66,4.27,275.27,0
-17.61,-161.54,-20.46,9.72,0.75,-9.12,7.68,268.39,0
-21.22,-161.6,-24.3,9.76,0.75,-9.19,7.78,260.95,0
-21.16,-161.67,-24.26,9.73,0.76,-9.16,8.07,252.13,0
-21.09,-161.73,-24.22,9.7,0.76,-9.12,6.85,246.2,0
-21.03,-160.62,-41.78,9.67,3.9,-7.17,7.02,239.25,0
-10.06,-160.41,-23.33,11.62,3.9,-8.45,7.42,489.97,0
