Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
80.26,26.03,-1.65,8.69,-3.32,51.48,150.2,2.79,0
2.11,12.08,-2.05,4.31,0.76,123.61,4724.53,0.7,0
1.89,13.19,-2.05,4.32,0.74,123.43,5273.38,0.72,0
1.64,13.65,-2.06,4.34,0.73,123.68,5156.74,0.72,0
1.36,14.13,-2.06,4.35,0.72,122.46,5014.21,0.73,0
3.1,14.7,-2.07,4.36,0.7,121.23,1280.09,0.96,0
2.95,15.3,-2.07,4.37,0.69,113.85,583.4,0.97,0
2.58,14.01,-2.08,1.21,-4.02,116.19,1476.4,0.96,0
2.24,15.83,-2.08,1.22,-3.98,115.2,1468.88,0.95,0
1.87,15.86,-2.09,1.23,-3.95,111.6,946.56,0.92,0
1.54,17.09,-2.1,1.23,-3.91,111.22,1746.06,0.9,0
2.36,17.05,-2.09,4.43,0.49,97.23,1050.74,1.03,0
4.77,17.05,-2.28,4.39,-0.74,95.84,955.86,1.25,0
4.34,17.05,-2.28,4.39,-0.75,102.03,1042.36,1.23,0
3.89,17.05,-2.29,4.4,-0.76,98.89,985.76,1.21,0
3.44,17.05,-2.3,4.4,-0.78,89.7,975.77,1.2,0
3.01,17.05,-2.3,4.41,-0.79,93.43,960.73,1.16,0
5.59,17.05,-2.31,4.42,-0.8,88.69,942.67,1.32,0
5.16,17.09,-2.31,0.08,-3.57,87.56,1096.44,1.33,0
5.78,17.05,-2.32,0.08,-3.54,86.86,1068.36,1.34,0
11.44,15.57,-2.02,3.68,-2.5,36.21,1050.19,1.53,0
13.39,15.88,-2.03,5.2,-3.02,39.78,1193.55,1.63,0
13.31,15.5,-2.04,5.27,-3.07,35.43,1175.02,1.65,0
14.06,15.82,-2.04,5.17,-3.07,41.67,1159.05,1.7,0
13.95,16.2,-2.05,5.08,-3.06,37.89,1095.43,1.71,0
15.64,16.71,-2.05,4.98,-3.05,34.18,1045.06,1.78,0
15.74,17.21,-2.07,5.74,-2.71,28.5,964.95,1.8,0
18.65,17.69,-2.07,6.83,-2.32,26.04,924.2,1.9,0
20.37,16.73,-2.1,8.85,-2.42,13.18,814.73,1.97,0
17.75,47.74,-1.78,7.78,3.8,9.59,578.34,1.92,0
17.75,47.52,-1.78,7.77,3.7,11.22,549.88,1.93,0
17.44,47.31,-1.6,6.24,1.28,12.8,525.3,1.92,0
16.74,47.09,-1.58,6.03,0.96,9.98,505.38,1.91,0
16.96,46.85,-1.59,5.98,0.91,10.3,485.94,1.91,0
16.12,46.61,-1.59,5.92,0.85,11.38,458.13,1.89,0
15.24,46.38,-1.59,5.87,0.79,10.37,444.58,1.88,0
15.29,46.15,-1.6,5.82,0.74,10.64,427.9,1.87,0
14.33,46.01,-1.6,5.77,0.68,9.27,389.96,1.85,0
13.9,45.88,-0.98,4.45,-1.24,8.81,376.46,1.83,0
12.29,45.75,-1.03,4.2,-1.54,6.28,438.16,1.8,0
10.52,45.62,-1.03,4.13,-1.57,6.47,419.59,1.77,0
9.97,45.49,-1.04,4.13,-1.64,8.18,408.69,1.75,0
8.36,45.36,-1.04,4.33,-1.82,7.53,393.55,1.71,0
6.71,45.23,-1.04,4.26,-1.86,7.17,384.55,1.65,0
5.06,45.1,-1.05,4.19,-1.9,4.76,371.06,1.57,0
4.59,44.97,-1.27,4.5,-1.65,4.24,313.67,1.34,0
3.16,44.85,-3.22,7.91,0.92,3.63,304.97,1.44,0
2.6,44.72,-3.22,7.81,0.76,3.3,328.22,1.38,0
0.66,44.67,-2.6,7.59,0.59,3.3,317.95,1.0,0
0.02,44.67,-2.61,7.59,0.51,3.05,310.67,0.14,0
0.24,44.68,-2.61,20.38,-15.73,2.79,300.96,0.59,0
0.39,44.67,-2.62,21.55,-15.06,2.07,113.7,0.84,0
0.81,44.67,-2.62,22.06,-14.94,1.61,102.79,1.03,0
4.27,44.67,-2.44,20.88,-13.64,1.09,275.27,1.46,0
7.68,44.67,-0.71,9.26,-2.94,0.36,268.39,1.61,0
7.78,44.67,-0.71,9.09,-3.53,0.04,260.95,1.6,0
8.07,44.67,-0.72,9.07,-3.51,0.35,252.13,1.6,0
6.85,44.67,-0.72,9.05,-3.49,0.12,246.2,1.56,0
7.02,44.67,-3.67,9.02,-3.47,-0.0,239.25,1.56,0
7.42,44.67,-3.67,11.44,-2.03,0.47,489.97,1.57,0
6.06,44.67,-3.67,12.44,-1.43,-0.0,368.77,1.52,0
7.71,44.67,-3.67,12.43,-1.39,0.01,343.85,1.6,0
13.33,44.67,-3.67,12.42,-1.36,-0.0,487.73,1.85,0
16.61,44.67,-3.67,11.92,-1.96,0.0,494.48,1.98,0
15.58,44.67,-3.67,11.9,-1.94,0.08,473.01,1.96,0
54.18,44.67,-3.15,13.58,-3.28,0.0,347.08,2.2,0
53.18,44.67,-1.96,17.41,-6.18,-0.0,1345.89,2.2,0
52.0,44.67,-1.95,17.42,-6.15,0.03,1357.39,2.18,0
55.33,44.67,-2.32,17.42,-6.13,-0.02,1393.07,2.35,0
64.1,44.67,-2.31,17.64,-6.67,0.05,1402.47,2.45,0
65.9,44.67,-2.3,17.65,-6.73,24.55,1393.02,2.48,0
67.8,44.67,-2.3,15.05,-3.16,29.99,1307.62,2.52,0
67.3,44.67,-2.29,11.17,2.33,35.71,1311.23,2.52,0
67.46,44.67,-2.28,11.16,2.45,37.87,1317.31,2.54,0
66.88,44.67,-2.28,11.76,1.79,35.41,1328.9,2.54,0
67.07,44.67,-2.27,12.0,1.56,27.1,1367.3,2.55,0
67.35,44.67,-2.26,11.98,1.64,20.34,1394.37,2.56,0
66.79,44.67,-2.25,12.02,1.77,17.85,1374.08,2.56,0
67.15,44.67,-2.24,12.01,1.85,20.55,1286.43,2.57,0
66.61,44.67,-2.23,11.98,1.94,22.58,1177.9,2.57,0
66.89,44.67,-2.22,11.96,2.02,25.44,1085.55,2.58,0
67.15,44.67,-1.61,5.05,3.96,33.18,996.86,2.58,0
67.0,56.9,-1.59,13.18,2.89,37.14,911.44,2.58,0
67.78,57.07,-1.57,13.17,2.76,37.21,931.37,2.58,0
